Date,ADANIPORTS,AMBUJACEM,ASIANPAINT,AUROPHARMA,AXISBANK,BAJAJ-AUTO,BAJFINANCE,BPCL,BHARTIARTL,INDUSTOWER,BOSCHLTD,CIPLA,COALINDIA,DRREDDY,EICHERMOT,GAIL,HCLTECH,HDFCBANK,HEROMOTOCO,HINDALCO,HINDPETRO,HINDUNILVR,HDFC,ICICIBANK,IBULHSGFIN,ITC,IOC,INDUSINDBK,INFY,KOTAKBANK,LUPIN,LT,M&M,MARUTI,NTPC,ONGC,POWERGRID,RELIANCE,SBIN,SUNPHARMA,TCS,TATAMOTORS,TATASTEEL,TECHM,UPL,ULTRACEMCO,VEDL,WIPRO,YESBANK,ZEEL,^NSEI
2013-06-25,138.55067443847656,155.00164794921875,410.91180419921875,83.85079193115234,233.57054138183594,1430.13232421875,132.87672424316406,69.28216552734375,259.1370544433594,101.1865234375,8046.73388671875,365.2012634277344,142.34854125976562,1951.35498046875,296.5285339355469,59.7713737487793,159.9475860595703,301.5962829589844,1204.3790283203125,90.6952896118164,32.042884826660156,506.3620910644531,715.010498046875,169.8697509765625,,171.02638244628906,33.305294036865234,454.71551513671875,241.06198120117188,357.2113952636719,735.863525390625,522.7886352539062,448.0802307128906,1426.6624755859375,78.46176147460938,144.0631561279297,56.33319854736328,376.11431884765625,179.94775390625,448.8098449707031,587.8054809570312,275.29168701171875,205.5378875732422,210.67462158203125,79.9428482055664,1733.8515625,73.1097412109375,119.09976196289062,82.85009765625,212.1474609375,5609.10009765625
2013-06-26,141.22616577148438,150.3456573486328,423.3008117675781,81.48712921142578,236.7854766845703,1420.238037109375,132.64988708496094,70.00521850585938,243.69241333007812,102.2883071899414,8044.6689453125,365.39373779296875,139.56637573242188,1947.82275390625,298.02398681640625,61.933658599853516,163.3550567626953,296.2921447753906,1248.800537109375,88.49915313720703,32.02968978881836,506.8790283203125,713.3921508789062,168.76780700683594,,172.76498413085938,33.18558883666992,438.80963134765625,243.65142822265625,342.26751708984375,722.6943359375,517.14892578125,426.7018127441406,1426.2471923828125,80.30889892578125,142.69834899902344,57.91773223876953,376.0207824707031,179.21678161621094,444.29217529296875,606.9725952148438,266.6842346191406,204.11080932617188,216.71420288085938,81.08704376220703,1723.5626220703125,73.19140625,120.60693359375,82.99816131591797,214.82395935058594,5588.7001953125
2013-06-27,143.08946228027344,153.98577880859375,427.5499267578125,84.49542236328125,241.84022521972656,1460.8480224609375,130.173828125,69.42274475097656,246.36886596679688,105.84246826171875,8139.921875,373.1906433105469,139.00994873046875,2006.7452392578125,292.6084899902344,62.47684097290039,169.3926239013672,307.5425720214844,1257.11279296875,89.52714538574219,32.20122146606445,507.3961181640625,743.6387939453125,169.49143981933594,,172.09629821777344,33.43246841430664,439.2433776855469,252.1204833984375,349.15509033203125,734.0093383789062,516.326904296875,437.23876953125,1404.5035400390625,79.74055480957031,148.15740966796875,58.21826171875,388.3738098144531,180.3910675048828,459.619140625,629.85498046875,264.3856201171875,203.763671875,225.47621154785156,81.35804748535156,1822.52197265625,75.3697280883789,122.01300811767578,82.04500579833984,221.7265167236328,5682.35009765625
2013-06-28,143.61497497558594,158.17617797851562,436.82049560546875,86.23834991455078,251.3522186279297,1528.994873046875,133.6731414794922,73.70079803466797,256.02178955078125,108.68576049804688,8486.837890625,377.2815856933594,146.38864135742188,2062.1357421875,289.96710205078125,65.45392608642578,165.26109313964844,318.4837951660156,1268.2469482421875,93.2652359008789,33.39532470703125,504.1221618652344,780.8585205078125,176.10304260253906,,173.51393127441406,35.123165130615234,450.6185302734375,253.7502899169922,359.15081787109375,743.0424194335938,538.3120727539062,454.54290771484375,1419.783935546875,81.70137023925781,153.1769256591797,60.81361770629883,403.6280212402344,184.28659057617188,478.5176086425781,640.9374389648438,275.1449890136719,211.1690673828125,221.09521484375,81.74947357177734,1821.939453125,77.7658920288086,122.680908203125,85.33939361572266,221.67953491210938,5842.2001953125
2013-07-01,144.80938720703125,160.03854370117188,443.9807434082031,89.24664306640625,255.82843017578125,1528.1605224609375,138.91000366210938,75.18705749511719,259.8829650878906,108.79241180419922,8362.3193359375,382.8644714355469,147.5740509033203,2103.910888671875,306.5807800292969,67.87734985351562,161.51290893554688,318.126953125,1295.357177734375,95.22772216796875,34.0418586730957,506.0606689453125,790.2743530273438,175.63430786132812,,174.36985778808594,35.399967193603516,454.9565124511719,248.8912811279297,360.0211486816406,738.9537353515625,555.0399169921875,462.1061096191406,1482.29052734375,84.20216369628906,151.74282836914062,61.68785858154297,414.4369812011719,190.11566162109375,475.41912841796875,630.0449829101562,283.4589538574219,216.53025817871094,215.80667114257812,83.85719299316406,1875.6171875,81.16950988769531,123.47183990478516,87.01435089111328,232.5264129638672,5898.85009765625
2013-07-02,143.3760986328125,157.87989807128906,440.692626953125,88.69751739501953,248.18472290039062,1520.531494140625,136.96485900878906,74.62470245361328,265.7624816894531,108.0460205078125,8322.876953125,382.3351135253906,144.88873291015625,2103.538818359375,312.78826904296875,69.47559356689453,163.1527099609375,312.3233642578125,1282.1263427734375,95.74170684814453,33.66581344604492,506.44830322265625,777.3941650390625,177.47633361816406,,173.7814178466797,35.399967193603516,459.2944641113281,244.1134796142578,355.9432678222656,761.82177734375,546.5709228515625,458.42987060546875,1457.5462646484375,82.75286102294922,148.92076110839844,60.840946197509766,407.956298828125,187.6916046142578,476.767333984375,633.5068359375,280.18231201171875,217.49447631835938,209.0786895751953,82.74311065673828,1866.7841796875,82.2314224243164,124.06941223144531,86.69971466064453,225.6708221435547,5857.5498046875
2013-07-03,142.51611328125,159.48826599121094,430.6777038574219,88.14839172363281,242.3712921142578,1502.0540771484375,136.85870361328125,71.78269958496094,258.4788818359375,109.43214416503906,8257.2177734375,382.09442138671875,143.89682006835938,2054.70068359375,317.8099365234375,68.7861557006836,163.4934539794922,309.5167541503906,1262.71826171875,92.42416381835938,32.37274932861328,506.44830322265625,758.2512817382812,174.99288940429688,,174.5838623046875,33.76911163330078,450.42572021484375,244.1693878173828,347.53887939453125,789.6341552734375,532.481201171875,458.96844482421875,1441.204345703125,81.92872619628906,143.9243621826172,59.17445373535156,398.12994384765625,179.09414672851562,482.396728515625,628.9683837890625,277.9815368652344,207.92921447753906,208.4319610595703,80.2138442993164,1853.000732421875,78.39215087890625,120.69480895996094,85.75582122802734,227.2203826904297,5770.89990234375
2013-07-04,142.2772216796875,159.69993591308594,430.10308837890625,88.33937072753906,239.92453002929688,1527.7388916015625,137.3708953857422,73.63050842285156,264.2706604003906,109.28997039794922,8091.568359375,379.8323974609375,144.91293334960938,2065.806640625,315.1154479980469,69.72630310058594,170.3190460205078,311.65740966796875,1262.946533203125,93.40540313720703,32.94011306762695,518.1220092773438,756.9188232421875,174.94351196289062,,181.27084350585938,33.57461166381836,455.2939147949219,250.61752319335938,348.23577880859375,808.8413696289062,536.1135864257812,459.9050598144531,1437.880615234375,81.87190246582031,142.9990997314453,58.81929397583008,403.1834411621094,179.2073211669922,487.57666015625,649.4441528320312,285.904296875,204.26510620117188,215.18077087402344,82.66874694824219,1851.0594482421875,77.35746002197266,122.90937805175781,87.02359771728516,226.98556518554688,5836.9501953125
2013-07-05,141.79945373535156,161.01206970214844,439.8636169433594,89.81965637207031,247.83251953125,1530.0997314453125,137.8977508544922,73.38948059082031,259.61968994140625,108.40143585205078,8183.30322265625,384.1158447265625,143.63070678710938,2080.72314453125,319.84954833984375,68.3056411743164,169.4458770751953,317.6512451171875,1257.4561767578125,93.40540313720703,32.71580505371094,524.9711303710938,755.1422119140625,172.94525146484375,,183.2769317626953,33.701786041259766,457.94482421875,249.41932678222656,349.77899169921875,793.9605712890625,538.65625,455.0346374511719,1435.2952880859375,81.64456176757812,146.21432495117188,58.791969299316406,411.93359375,178.68856811523438,489.9655456542969,646.0244140625,289.71893310546875,204.1879425048828,216.682861328125,81.31855773925781,1869.744873046875,77.98371124267578,123.36637878417969,86.11671447753906,224.07431030273438,5867.89990234375
2013-07-08,142.5638885498047,163.5093536376953,440.2545471191406,91.96846771240234,241.0020294189453,1516.7078857421875,135.33665466308594,69.43279266357422,257.6452331542969,107.29963684082031,8100.76123046875,381.6613464355469,140.31634521484375,2089.924072265625,323.7253723144531,66.42538452148438,174.37600708007812,314.17864990234375,1261.078369140625,93.5923080444336,31.44913673400879,525.2725830078125,732.002197265625,169.06381225585938,,185.4702911376953,32.46742630004883,474.4773864746094,250.63278198242188,344.6018981933594,787.3521118164062,536.4576416015625,443.81854248046875,1432.0638427734375,79.79739379882812,140.5702667236328,57.53525924682617,405.6634521484375,176.68423461914062,493.22967529296875,636.082275390625,281.50274658203125,200.48524475097656,218.1536407470703,83.37454223632812,1832.6651611328125,76.78563690185547,124.96576690673828,86.39433288574219,227.4081573486328,5811.5498046875
